# Metadata for IMIS_10_YEARS dataset\
# Reference        = Adrien Michel, Varun Sharma, Michael Lehning, and Hendrik Huwald, Climate change scenarios\
#                    at hourly time-step over Switzerland from an enhanced temporal downscaling approach,\
#                    International Journal of Climatology, 2021, doi:10.1002/joc.7032\
# Author           = Created by Adrien Michel (adrien.michel@epfl.ch)\
# Citation         = Michel, A., Sharma, V., Lehning, M. Huwald, H., 2021. Dataset for: Climate change scenarios at hourly time-step over Switzerland from an enhanced temporal downscaling approach. EnviDat. doi:10.16904/envidat.201\
# Url              = https://www.envidat.ch/dataset/climate-change-scenarios-at-hourly-resolution\
# Source_code      = https://github.com/Chelmy88/temporal_downscaling, https://www.envidat.ch/dataset/source-code-climate-change-scenarios-at-hourly-resolution, doi:10.16904/envidat.203\
# License          = https://creativecommons.org/licenses/by/4.0\
# Info             = Coordinates in CH1903 LV03. 1 in variable name columns indicate if at least one climate change\
#                    scenarios is available for the given variable. See the paper SM for tables with additional details\
#\
  ID                              NAME ELEVATION LONGITUDE  LATITUDE XCOORD YCOORD TA PSUM RH VW\
ALI1                              ALI1      1989   6.98728  46.48225 565340 147981  1    0  1  0\
ALI2                   Allieres:Chenau      1708   6.99329  46.48863 565806 148688  1    1  1  1\
AMD1                              AMD1      1932   9.13559  47.16969 728647 225694  1    0  1  0\
AMD2                  Amden:Baerenfall      1610   9.14688  47.17084 729500 225840  1    1  1  0\
ANV1                              ANV1      2895   7.58666  46.15076 611436 111042  1    0  1  1\
ANV2                 Anniviers:Orzival      2640   7.53536  46.18827 607468 115206  1    1  1  1\
ANV3                 Anniviers:Tracuit      2589   7.65639  46.12116 616833 107764  1    1  1  1\
ARO1                              ARO1      3300   7.43528  46.03537 599740  98203  1    0  1  1\
ARO2            Arolla:Les_Fontanesses      2847   7.44584  46.02878 600558  97471  1    1  1  1\
ARO3                     Arolla:Breona      2602   7.56205  46.08742 609546 103997  1    1  1  1\
BED2                  Bedretto:Cavanna      2450   8.51079  46.53404 682250 154200  1    1  1  1\
BED3               Bedretto:Cassinello      2101   8.52191  46.49115 683169 149445  1    1  1  1\
BER1                              BER1      2956  10.02363  46.43148 798654 145510  1    0  1  0\
BER2              Bernina:Motta_Bianco      2447  10.02919  46.42057 799121 144312  1    0  1  1\
BER3                 Bernina:Puoz_Bass      2625   9.91588  46.44091 790343 146291  1    0  1  1\
BEV1                              BEV1      2490   9.85353  46.54885 785184 158135  1    0  1  1\
BEV2                     Bever:Valetta      2512   9.83709  46.53956 783955 157064  1    1  1  1\
BOG1                              BOG1      2688   8.46004  46.32826 678655 131275  1    0  1  0\
BOR2               Bortel:Bortelseewji      2517    8.1093  46.29052 651682 126789  1    1  1  0\
