# Metadata for IMIS_QM_DAILY dataset\
# Reference        = Adrien Michel, Varun Sharma, Michael Lehning, and Hendrik Huwald, Climate change scenarios\
#                    at hourly time-step over Switzerland from an enhanced temporal downscaling approach,\
#                    International Journal of Climatology, 2021, doi:10.1002/joc.7032\
# Author           = Created by Adrien Michel (adrien.michel@epfl.ch)\
# Citation         = Michel, A., Sharma, V., Lehning, M. Huwald, H., 2021. Dataset for: Climate change scenarios at hourly time-step over Switzerland from an enhanced temporal downscaling approach. EnviDat. doi:10.16904/envidat.201\
# Url              = https://www.envidat.ch/dataset/climate-change-scenarios-at-hourly-resolution\
# Source_code      = https://github.com/Chelmy88/temporal_downscaling, https://www.envidat.ch/dataset/source-code-climate-change-scenarios-at-hourly-resolution, doi:10.16904/envidat.203\
# License          = https://creativecommons.org/licenses/by/4.0\
# Info             = Coordinates in CH1903 LV03. 1 in variable name columns indicate if at least one climate change\
#                    scenarios is available for the given variable.\
#                    1 in HOURLY columns indicate if this station is availabes in the 1-hour downscaled dataset\
#\
  ID                                  NAME ELEVATION LONGITUDE  LATITUDE XCOORD YCOORD PR HURS SFCWIND TAS TASMAX TASMIN HOURLY\
ALI1                                  ALI1      1989   6.98728  46.48225 565340 147981  0    1       1   1      1      1      1\
ALI2                       Allieres:Chenau      1708   6.99329  46.48863 565806 148688  1    1       1   1      1      1      1\
AMD1                                  AMD1      1932   9.13559  47.16969 728647 225694  0    1       1   1      1      1      1\
AMD2                      Amden:Baerenfall      1610   9.14688  47.17084 729500 225840  1    1       1   1      1      1      1\
ANV1                                  ANV1      2895   7.58666  46.15076 611436 111042  0    1       1   1      1      1      1\
ANV2                     Anniviers:Orzival      2640   7.53536  46.18827 607468 115206  1    1       1   1      1      1      1\
ANV3                     Anniviers:Tracuit      2589   7.65639  46.12116 616833 107764  1    1       1   1      1      1      1\
ARO1                                  ARO1      3300   7.43528  46.03537 599740  98203  0    1       1   1      1      1      1\
ARO2                Arolla:Les_Fontanesses      2847   7.44584  46.02878 600558  97471  1    1       1   1      1      1      1\
ARO3                         Arolla:Breona      2602   7.56205  46.08742 609546 103997  1    1       1   1      1      1      1\
BAG1                                  BAG1      2659   7.26631   46.1021 586674 105636  0    1       1   1      1      1      0\
BED1                                  BED1      2963   8.51947  46.53888 682908 154748  0    1       1   1      1      1      0\
BED2                      Bedretto:Cavanna      2450   8.51079  46.53404 682250 154200  1    1       1   1      1      1      1\
BED3                   Bedretto:Cassinello      2101   8.52191  46.49115 683169 149445  1    1       1   1      1      1      1\
BEL2                     Belalp:Lengi_Egga      2554   7.97417  46.39484 641190 138305  1    1       1   1      1      1      0\
BER1                                  BER1      2956  10.02363  46.43148 798654 145510  0    1       1   1      1      1      1\
BER2                  Bernina:Motta_Bianco      2447  10.02919  46.42057 799121 144312  1    1       1   1      1      1      1\
BER3                     Bernina:Puoz_Bass      2625   9.91588  46.44091 790343 146291  1    1       1   1      1      1      1\
BEV1                                  BEV1      2490   9.85353  46.54885 785184 158135  0    1       1   1      1      1      1\
BEV2                         Bever:Valetta      2512   9.83709  46.53956 783955 157064  1    1       1   1      1      1      1\
BOG1                                  BOG1      2688   8.46004  46.32826 678655 131275  0    1       1   1      1      1      1\
BOG2             Bosco_Gurin:Hendar_Furggu      2299   8.47162   46.3338 679538 131902  1    1       1   1      1      1      0\
BOG3                                  BOG3      2179   8.49098  46.30622 681070 128856  0    0       1   1      1      1      0\
BOR2                   Bortel:Bortelseewji      2517    8.1093  46.29052 651682 126789  1    1       1   1      1      1      1\
BOV1                                  BOV1      3211   7.23987  45.99452 584599  93682  0    1       1   1      1      1      0\
BOV2              Boveire:Pointe_de_Toules      2687   7.23719  45.98479 584389  92601  1    1       1   1      1      1      1\
CAM1                                  CAM1      2668   8.70038  46.48269 696885 148709  0    1       1   1      1      1      1\
CAM2                    Campolungo:Fontane      2216   8.71747  46.46572 698228 146844  1    1       1   1      1      1      1\
CAM3                   Solco_(CAM3)_2257_m      2257   8.70888  46.48757 697529 149262  1    1       1   1      1      1      0\
CHA1                                  CHA1      2540   7.15245   46.3829 577983 136877  0    1       1   1      1      1      1\
CHA2               Chaussy:Pierres_Fendues      2218   7.16398  46.37696 578868 136214  1    1       1   1      1      1      1\
CON2           Conthey:Etang_de_Trente_Pas      2229    7.2742  46.28974 587328 126494  1    1       1   1      1      1      1\
COR2                                  COR2      1813   9.07073  46.12393 726149 109360  0    1       1   1      1      1      0\
DAV1                                  DAV1      2890   9.81431  46.68851 781707 173561  0    1       1   1      1      1      1\
DAV2                    Davos:Baerentaelli      2558   9.81941  46.69889 782062 174726  1    1       1   1      1      1      1\
DAV3                     Davos:Hanengretji      2455   9.77399  46.78883 778292 184616  1    1       1   1      1      1      1\
DAV4                     Davos:Frauentobel      2330    9.7847  46.78419 779125 184125  1    1       1   1      1      1      1\
DAV5                      Davos:Grueniberg      2315   9.79002  46.79162 779506 184962  1    1       1   1      1      1      0\
DTR1                                  DTR1      2388   8.86609  46.54806 709476 156193  0    1       1   1      1      1      1\
DTR2                          Doetra:Preda      2057   8.86906  46.54286 709714 155619  1    1       1   1      1      1      1\
ELA1                                  ELA1      3110   9.70823  46.58153 773940 161433  0    1       1   1      1      1      0\
ELA2                          Ela:Tschitta      2726   9.71469  46.59142 774403 162547  1    1       1   1      1      1      0\
ELA3                                  ELA3      2306   9.76979  46.60303 778585 163961  0    1       1   1      1      1      0\
ELM1                                  ELM1      2447   9.12057  46.93147 728076 199192  0    1       1   1      1      1      1\
ELM2                     Elm:Chueebodensee      2058    9.1365   46.9356 729279 199678  1    1       1   1      1      1      1\
ELS1                                  ELS1      2340   7.63964  46.53468 615420 153730  0    1       1   1      1      1      0\
ELS2                         Elsige:Elsige      2143   7.64164   46.5296 615575 153165  1    1       1   1      1      1      0\
ERN1                                  ERN1      2600   8.23336  46.41622 661100 140850  0    0       1   0      0      0      0\
ERN2                                  ERN2      2450   8.23278  46.42117 661050 141400  0    0       0   1      1      1      0\
FAE1                                  FAE1      2761   7.48934  46.49711 603892 149535  0    1       1   1      1      1      0\
FAE2                          Faermel:Muri      1971   7.49525  46.52041 604344 152125  1    1       1   1      1      1      0\
FIR2             First:Schmidigen-Bidmeren      2111    8.0644  46.66877 647887 168807  1    1       1   1      1      1      1\
FIS2                             Fisi:Fisi      2155   7.67388  46.47146 618068 146709  1    1       1   1      1      1      0\
FKA2                                  FKA2      2435   8.42162  46.57765 675349 158958  0    1       1   1      1      1      0\
